,ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,Landsize,Age,Latitude,Longtitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
0,ID195198670,23 Duffy St,MARIBYRNONG,1180000,h,25/02/2017,4,3,2,688,59,-37.7713,144.8937,20038,2325,12.07692308,-1,717,1763,318
1,ID426935414,73 Westbourne Gr,NORTHCOTE,1550000,h,15/07/2017,3,2,2,422,69,-37.77348,144.99206,20016,492,22.72727273,-1,142,344,39
2,ID924392942,19 Charles St,NORTHCOTE,1360000,h,23/09/2017,3,2,1,184,109,-37.77651,144.99074,20017,246,21.72727273,-1,142,344,39
3,ID781852666,283 Tyler St,PRESTON,928000,h,18/03/2017,3,2,1,0,69,-37.7307,145.0097,20011,661,31.6,-1,705,5479,335
4,ID345928500,8/211 Edwardes St,RESERVOIR,336000,u,3/12/2016,2,1,1,99,49,-37.7166,144.9911,20010,1400,33.38461538,-1,824,1890,159
5,ID317414938,2b Rice St,MOORABBIN,910000,t,12/11/2016,3,2,2,312,19,-37.9412,145.0491,19872,1024,38.5,-1,71,261,20
6,ID171719689,8/102 Cross St,WEST FOOTSCRAY,480000,u,3/6/2017,2,1,1,1157,99,-37.80029,144.87859,20023,616,11,-1,298,735,154
7,ID769666978,1/22 Rathmines St,FAIRFIELD,667000,u,17/06/2017,2,1,1,86,10,-37.78203,145.01508,19930,356,24,-1,330,1855,82
8,ID826546296,8 Gordon Pde,YARRAVILLE,990000,h,6/5/2017,3,1,2,340,79,-37.8227,144.8827,19995,928,15.18181818,0,817,1779,181
9,ID679739347,118 Rowans Rd,MOORABBIN,901000,h,16/07/2016,3,2,3,558,64,-37.9435,145.0522,19872,1060,38.5,-1,71,261,20
10,ID776930874,129 Hambleton St,MIDDLE PARK,1630000,h,29/04/2017,3,1,0,143,119,-37.8484,144.963,19958,2364,20,-1,313,545,65
11,ID271480181,4/129 Mountain View Rd,BRIAR HILL,625000,t,19/08/2017,2,2,1,189,13,-37.70835,145.11795,19986,835,47,-1,59,124,5
12,ID361482205,48 Gordon St,FAIRFIELD,1510000,h,28/05/2016,3,1,1,453,49,-37.7772,145.0232,19930,596,24,-1,334,1407,88
13,ID404594744,302/34 Union St,BRUNSWICK,1180000,u,27/11/2016,2,1,1,0,9,-37.7738,144.9585,19969,134,12,-1,703,1502,135
14,ID143752726,74 Bridport St,ALBERT PARK,2800000,h,30/07/2016,3,3,1,0,129,-37.8399,144.9577,20043,2443,0,-1,1202,5034,333
15,ID307578621,7 Huxley Ct,BAYSWATER,1030000,h,24/06/2017,4,2,2,1094,49,-37.85757,145.2615,19870,1857,51,-1,97,233,26
16,ID357469763,21 Eden St,HEIDELBERG HEIGHTS,650000,h,12/8/2017,2,1,0,683,21,-37.75022,145.04778,19935,1368,32.25,-1,1173,8523,974
17,ID194053751,3/40 Rowland St,KEW,891000,u,28/05/2016,2,1,1,121,10,-37.8126,145.0534,19903,1277,19.66666667,-1,271,771,74
18,ID720446462,166 Gordon St,BALWYN,2100000,h,3/9/2016,2,1,1,659,99,-37.8094,145.0807,19893,1680,23.66666667,-1,925,4701,308
19,ID522119116,305/28 Burnley St,RICHMOND,327000,u,7/11/2016,1,1,1,0,7,-37.8127,145.0094,19977,1508,12,-1,824,1890,159
20,ID862804056,107/480 Albion St,BRUNSWICK WEST,400500,u,11/2/2017,2,1,1,0,6,-37.7582,144.94,19967,1852,15,-1,941,5813,575
21,ID837932520,13 Brockley Rd,FAWKNER,1010000,h,28/05/2016,4,2,2,607,4,-37.716,144.9663,19962,530,25,-1,1144,6845,375
22,ID303975081,1/236 Patterson Rd,BENTLEIGH,875000,u,3/9/2016,3,1,2,348,69,-37.9273,145.0479,19938,1117,35.08333333,-1,925,4701,308
23,ID539700737,202b Edward St,BRUNSWICK EAST,1170000,h,15/10/2016,3,2,0,185,21,-37.7755,144.9744,19969,1381,12,-1,703,1502,135
24,ID202907977,20 Austral Av,PRESTON,1485000,h,29/07/2017,4,1,2,509,99,-37.74684,144.9933,20013,620,28.6,-1,705,5479,335
25,ID955498557,23 Gardner St,RICHMOND,1012000,t,27/06/2016,3,2,1,80,59,-37.8155,145.0061,19978,1292,10,-1,824,1890,159
26,ID908040229,19 Athenry Tce,TEMPLESTOWE,1280000,h,8/7/2017,3,2,2,926,11,-37.75091,145.16761,19987,4509,51,-1,281,524,75
27,ID967501110,309/416 Gore St,FITZROY,790000,u,22/08/2016,2,1,1,0,19,-37.7967,144.9836,19975,993,15,-1,1923,8979,620
28,ID260809071,92 Glenroy Rd,GLENROY,750000,h,3/6/2017,4,2,3,659,39,-37.70619,144.92916,20032,1068,25.08333333,-1,1841,9184,533
29,ID999881268,3 Ponsford Pl,SUNBURY,605000,h,23/09/2017,4,2,2,738,19,-37.58457,144.70005,15351,2482,45.16666667,-1,1479,4398,502
30,ID556149726,3 Lyall Dr,WERRIBEE,490000,h,3/6/2017,3,2,4,1022,14,-37.90811,144.64373,19921,1810,36.4,-1,98,190,19
31,ID226735836,13/68 Kororoit Creek Rd,WILLIAMSTOWN NORTH,367500,u,24/09/2016,2,1,1,0,49,-37.8571,144.8841,19993,438,19.2,-1,1002,4068,328
32,ID705006480,27 Westbourne St,PRAHRAN,1442000,h,30/07/2016,3,1,2,199,119,-37.8494,145.005,19947,591,16.83333333,-1,659,5219,338
33,ID119431392,8 Thomas St,BRIGHTON EAST,1310000,h,24/09/2016,2,3,2,302,1,-37.9182,145.0231,19939,1223,33.08333333,-1,2744,10289,780
34,ID413137922,7/27 High St,MONT ALBERT,1310000,t,15/10/2016,3,2,2,330,18,-37.8167,145.107,19896,330,29.66666667,-1,278,489,65
35,ID398647404,33 Edwardes St,RESERVOIR,810000,h,25/02/2017,3,2,3,486,5,-37.7164,145.0048,20010,201,33.38461538,-1,885,1901,227
36,ID991003299,82/390 Toorak Rd,SOUTH YARRA,1072000,u,13/08/2016,3,0,0,0,49,-37.8407,145.0043,19947,473,16.83333333,-1,1100,3636,457
37,ID921722818,18 Davis St,COBURG,1055000,h,3/9/2017,4,1,1,560,29,-37.74192,144.95097,19965,1090,19,-1,1097,5916,553
38,ID369203550,99 Murray Rd,PRESTON,900000,h,12/11/2016,3,1,1,527,69,-37.7396,145.0174,20012,1489,29.42857143,-1,659,5219,338
39,ID613312198,8/192 Cecil St,SOUTH MELBOURNE,460000,u,8/4/2017,1,1,1,0,49,-37.8344,144.9581,20043,1854,0,-1,1245,3886,447
40,ID722769957,9/126 Atherton Rd,OAKLEIGH,665000,u,30/07/2016,3,1,1,112,4,-37.9008,145.098,19917,853,28,-1,898,6529,480
41,ID275422291,15 Carnon St,GREENSBOROUGH,895000,h,24/06/2017,3,2,2,1036,65,-37.69538,145.11543,19985,1145,44.2,-1,663,4010,377
42,ID555813173,4/16 Repton Rd,MALVERN EAST,480000,u,22/05/2016,2,1,1,0,49,-37.8811,145.0524,19920,789,21.90909091,-1,610,1743,228
43,ID788873431,40 Waratah St,BENTLEIGH EAST,950000,t,18/03/2017,4,2,1,450,79,-37.9133,145.0837,19917,1495,28,-1,959,4476,324
44,ID177813401,22A Mernda Av,CARNEGIE,1508000,h,16/09/2017,3,2,2,338,8,-37.89235,145.04954,19942,706,26.92307692,-1,3767,18925,2042
45,ID500364555,2/16 Stapley Cr,ALTONA NORTH,510000,h,22/07/2017,2,1,1,170,18,-37.83658,144.86199,19994,2019,16.625,-1,2494,11307,1410
46,ID381721707,66 Durham Rd,SURREY HILLS,1455000,h,10/12/2016,4,2,1,494,89,-37.8317,145.0901,19894,834,25.66666667,-1,2403,5212,586
47,ID302654916,1 Baird St,FAWKNER,687000,h,20/05/2017,3,2,1,577,12,-37.7071,144.9706,19962,1219,25,-1,1253,7401,484
48,ID497897307,6/219 Nicholson St,ABBOTSFORD,500000,u,18/06/2016,2,1,1,0,49,-37.8015,144.9972,19975,356,15,-1,1202,5034,333
49,ID636988895,19/877 Punt Rd,SOUTH YARRA,360000,u,12/11/2016,1,1,1,0,49,-37.8339,144.9872,19959,679,13.86666667,-1,1100,3636,457
50,ID818801682,7 Kinnoull Gr,GLEN WAVERLEY,2650000,h,17/06/2017,5,3,2,662,59,-37.87853,145.15542,19874,558,39.14285714,-1,56,98,19
51,ID851699710,36 Primrose St,MOONEE PONDS,1065000,h,10/12/2016,3,1,1,395,109,-37.7593,144.9276,20038,1030,12.07692308,-1,278,489,65
52,ID894404668,10/81 Koornang Rd,CARNEGIE,662000,u,17/09/2016,2,2,1,0,49,-37.8873,145.0572,19920,169,21.90909091,-1,3703,18944,2039
53,ID693273713,7 Valdemar Ct,BRIGHTON EAST,1447000,h,25/02/2017,4,1,2,590,20,-37.9286,145.0274,19938,806,35.08333333,-1,2897,11243,942
54,ID443170593,3 Diosma Ct,FRANKSTON SOUTH,1155000,h,26/08/2017,3,2,2,2405,39,-38.16457,145.12421,19855,2408,72.2,-1,517,2973,288
55,ID542955178,702/127 Beach St,PORT MELBOURNE,1252000,u,24/09/2016,2,1,2,0,13,-37.8399,144.9287,22180,3157,0,-1,659,5219,338
56,ID236447604,52 Spicer Bvd,ALTONA MEADOWS,750000,h,23/09/2017,4,2,2,636,23,-37.87941,144.76935,19924,1611,26,-1,990,3070,411
57,ID236188219,3/30 Grosvenor St,BRIGHTON,2550000,h,29/04/2017,4,3,2,263,14,-37.9099,144.9899,19951,810,33,0,2897,11243,942
58,ID552076471,15 Alberta St,WEST FOOTSCRAY,845000,h,1/7/2017,3,1,2,422,69,-37.79644,144.86388,20022,324,14,-1,298,735,154
59,ID361568261,66 Springvale Rd,NUNAWADING,1060000,h,17/06/2017,5,3,2,766,49,-37.81113,145.17681,19899,1068,36.66666667,-1,938,6892,553
60,ID134781759,18 Lorraine St,ESSENDON,2355000,h,25/02/2017,4,2,3,715,99,-37.7582,144.9128,20037,386,14.08333333,-1,1253,7401,484
61,ID794259416,20 Kent St,ASCOT VALE,920000,h,15/07/2017,2,2,0,234,109,-37.78052,144.93002,20040,763,8.076923077,-1,2494,11307,1410
62,ID364323377,2/13 Fenacre St,STRATHMORE,622500,h,16/07/2016,3,2,2,254,15,-37.7302,144.9167,20034,1014,20.08333333,-1,888,2196,181
63,ID111396233,3/11 Ormond Rd,ORMOND,410000,u,26/07/2016,2,1,1,0,49,-37.903,145.0452,19941,491,30.08333333,0,268,736,128
64,ID628809045,1/124 Cuthbert St,BROADMEADOWS,465000,t,1/7/2017,3,2,3,248,9,-37.68358,144.92387,20030,380,29.08333333,-1,684,1695,161
65,ID476390265,52a Florence St,WILLIAMSTOWN NORTH,1190000,h,16/09/2017,3,2,2,297,14,-37.85537,144.87578,19993,1188,19.2,-1,1064,4200,432
66,ID491006093,10/38 Kensington Rd,SOUTH YARRA,555000,u,29/07/2017,1,1,1,0,54,-37.83631,145.00181,19959,866,13.86666667,-1,1245,3886,447
67,ID724058600,9/21 Doncaster East Rd,MITCHAM,973000,t,12/8/2017,3,2,2,323,7,-37.8099,145.19506,19900,943,38.66666667,-1,1471,7759,779
68,ID918967352,24 McIntosh St,SUNSHINE,571000,h,22/05/2016,3,1,2,589,59,-37.7856,144.8177,20004,1078,20.11111111,-1,2403,5212,586
69,ID972062675,5 Charles St,SUNSHINE NORTH,705000,h,25/02/2017,4,2,1,570,79,-37.7749,144.8329,20004,784,20.11111111,-1,1412,6364,699
70,ID147802158,5 Saunders St,COBURG,1150000,h,28/05/2016,4,1,2,633,29,-37.7531,144.9504,19966,1017,17,-1,1071,5783,419
71,ID611755507,37 Thompson St,ORMOND,1715000,h,3/12/2016,4,2,2,705,97,-37.9035,145.028,19941,1021,30.08333333,-1,268,736,128
72,ID661890608,1411 Dandenong Rd,MALVERN EAST,1290000,h,13/05/2017,4,2,2,395,109,-37.8914,145.0842,19918,695,26,-1,717,1763,318
73,ID704891146,5/14 Devon Rd,PASCOE VALE,500000,t,3/9/2017,2,2,1,74,8,-37.72184,144.92969,20033,840,23.08333333,-1,705,5479,335
74,ID265455575,82 Highett Rd,HAMPTON,1615000,h,6/5/2017,3,1,2,681,59,-37.9462,145.0193,19948,1373,42,-1,235,506,74
75,ID839893933,1/204 Brougham St,KEW,800000,t,12/11/2016,3,2,2,848,49,-37.796,145.0324,19931,1962,26,-1,271,771,74
76,ID349538438,17 Hampshire Rd,SUNSHINE,702000,h,10/9/2016,3,1,1,542,69,-37.7949,144.8303,22241,744,12.09090909,-1,2403,5212,586
77,ID437713580,1 Meagher St,WATSONIA,741000,h,12/11/2016,3,1,1,671,59,-37.7072,145.0855,19984,445,39.8,-1,244,484,61
78,ID156780269,6 Middlesex St,SUNSHINE NORTH,808000,h,10/12/2016,3,1,2,692,59,-37.771,144.8428,20004,1756,20.11111111,0,1363,6287,564
79,ID927957687,5 Florence St,BRIGHTON EAST,1495000,h,4/6/2016,4,2,2,597,79,-37.9179,145.019,19939,1581,33.08333333,-1,2744,10289,780
80,ID147441613,33 McCarron Pde,ESSENDON,1635000,h,15/10/2016,4,1,2,638,119,-37.7523,144.9052,20037,1052,14.08333333,-1,1144,6845,375
81,ID449058465,1906/229 Toorak Rd,SOUTH YARRA,402000,u,3/12/2016,1,1,1,0,6,-37.8392,144.9947,19959,223,13.86666667,-1,1100,3636,457
82,ID678844099,22 Yongala St,BALWYN,2250000,h,3/12/2016,5,3,2,600,13,-37.8061,145.0801,19893,2049,23.66666667,-1,925,4701,308
83,ID397521617,6 Mattea Ct,RESERVOIR,672000,u,27/06/2016,3,1,2,855,7,-37.7328,145.0348,20011,2862,31.6,-1,824,1890,159
84,ID219087535,6/13 Alexander St,COLLINGWOOD,365000,u,15/07/2017,1,1,0,0,59,-37.79597,144.99108,19975,462,15,-1,1097,5916,553
85,ID306179466,26 Bardia St,HEIDELBERG WEST,735000,h,22/07/2017,2,1,4,600,69,-37.74798,145.03765,19934,2253,31,-1,1173,8523,974
86,ID724937133,41 Cameron St,RICHMOND,1320000,h,24/09/2016,3,2,2,171,129,-37.8166,144.9987,19978,666,10,-1,824,1890,159
87,ID291674135,76 Newry St,FITZROY NORTH,1116000,h,3/9/2016,2,1,0,152,109,-37.791,144.9809,19974,1303,17.84615385,-1,1923,8979,620
88,ID206856144,4/22 Newcastle St,PRESTON,485000,u,14/05/2016,2,1,1,117,54,-37.7514,145.0118,20013,1214,28.6,-1,659,5219,338
89,ID963093955,2/125 Fosters Rd,KEILOR PARK,455000,u,27/06/2016,3,1,1,166,20,-37.7169,144.8582,20032,5377,25.08333333,-1,922,5201,296
90,ID972149171,7 Alfred Pl,WILLIAMSTOWN,1200000,h,8/7/2017,3,2,0,159,49,-37.85843,144.89976,19992,773,21.2,-1,1064,4200,432
91,ID495165769,7/5 Alfriston St,ELWOOD,680000,u,27/11/2016,2,1,1,0,59,-37.8753,144.9902,19955,448,25,0,1566,8895,491
92,ID599320965,115 Derby St,PASCOE VALE,800000,h,8/4/2017,4,1,1,593,49,-37.7278,144.9463,19963,1527,23,-1,705,5479,335
93,ID943202197,1/54 Liddiard St,HAWTHORN,440000,u,6/5/2017,1,1,1,0,59,-37.8194,145.0397,19904,368,16.57142857,-1,1253,7401,484
94,ID534501260,3 Hampshire Rd,DONCASTER,1120000,h,17/06/2017,4,2,2,280,11,-37.79423,145.13696,19897,2974,32.75,-1,3327,11071,1069
95,ID651337636,2/71 Roslyn St,BRIGHTON,1630000,t,25/02/2017,4,2,2,432,19,-37.9228,145.0022,19951,998,33,-1,2897,11243,942
96,ID252109388,22 Cavanagh St,CHELTENHAM,1740000,h,29/07/2017,4,2,2,721,9,-37.9641,145.06547,19866,999,42.5,-1,1288,4242,480
97,ID728000459,53 Mary St,KEW,1410000,h,26/07/2016,3,2,1,442,27,-37.8046,145.0382,19904,1884,16.57142857,-1,271,771,74
98,ID399219140,370 McKinnon Rd,BENTLEIGH EAST,1630000,h,25/02/2017,2,1,2,724,69,-37.9135,145.0557,19940,1569,31.08333333,-1,959,4476,324
99,ID912894273,2 Michael Ct,NIDDRIE,840000,t,15/10/2016,3,2,2,374,29,-37.7445,144.8834,20037,3158,14.08333333,-1,71,261,20
100,ID469613433,2/21 Lillimur Rd,ORMOND,454000,u,1/7/2017,1,1,1,1006,9,-37.90164,145.04139,19941,234,30.08333333,-1,298,735,154
101,ID757523106,9/56 Leicester St,FITZROY,710000,t,27/06/2016,2,1,1,0,17,-37.7953,144.9775,19975,1552,15,-1,1923,8979,620
102,ID837676687,3 Oshannassy St,ESSENDON NORTH,1580000,h,4/6/2016,3,2,2,758,44,-37.7401,144.9013,20036,1901,16.08333333,-1,334,1407,88
103,ID541100817,42 Studley Ct,DONCASTER,1460000,h,18/06/2016,4,2,2,840,49,-37.78,145.1145,20042,4408,30.75,-1,3081,9924,906
104,ID199562653,2/16 Beaver St,MALVERN EAST,1370000,t,22/08/2016,3,2,2,323,49,-37.8704,145.0411,19943,796,22.11538462,-1,610,1743,228
105,ID803185065,35 Athol St,MOONEE PONDS,1425000,h,22/05/2016,3,1,1,526,119,-37.7701,144.9172,20038,519,12.07692308,0,278,489,65
106,ID756469973,19 Belson St,MALVERN EAST,2800000,h,12/11/2016,4,2,3,809,94,-37.8664,145.0452,19943,1253,22.11538462,-1,610,1743,228
107,ID725612941,62 Butler St,RICHMOND,860000,h,20/05/2017,2,1,0,111,119,-37.8108,144.9955,19977,268,12,-1,885,1901,227
108,ID190906802,6 Parkside Av,BOX HILL,1820000,h,3/9/2017,2,1,2,701,79,-37.82756,145.11897,20042,953,30.75,-1,2897,11243,942
109,ID395072397,10 The Loop,HADFIELD,880000,h,22/04/2017,4,3,2,530,59,-37.7058,144.9431,19961,1502,27,-1,1841,9184,533
110,ID650639268,6/137 Hickford St,RESERVOIR,530000,t,8/10/2016,3,2,1,229,11,-37.7036,145.0145,20009,649,35.55555556,-1,824,1890,159
111,ID530919419,8/99 Verdon St,WILLIAMSTOWN,310000,u,7/5/2016,1,1,1,0,51,-37.8588,144.8919,19993,298,19.2,-1,1002,4068,328
112,ID458482999,75 Canterbury Rd,BLACKBURN,1112000,h,17/06/2017,3,1,3,632,49,-37.83107,145.14343,19897,1170,32.75,-1,990,3070,411
113,ID718637370,35 Lindenow St,MAIDSTONE,876000,h,8/7/2017,3,1,2,420,2,-37.77915,144.88137,20023,2546,11,-1,717,1763,318
114,ID225251631,16 Bailey Av,ARMADALE,4060000,h,26/08/2017,4,2,1,574,109,-37.86325,145.02422,19944,557,21.90909091,-1,2494,11307,1410
115,ID130867206,2/22 Severn St,BALWYN NORTH,1137000,t,19/11/2016,3,2,2,349,69,-37.7955,145.0694,19892,3385,21.66666667,-1,925,4701,308
116,ID176843567,4/43 Clifton Rd,HAWTHORN EAST,706000,u,22/08/2016,2,1,1,172,59,-37.8437,145.0536,19912,1080,22,-1,1144,6845,375
117,ID254653124,14 Avon St,MOORABBIN,987000,h,10/9/2016,3,1,1,603,59,-37.9404,145.0464,19872,978,38.5,-1,71,261,20
118,ID297579704,2/32 Wilson Rd,GLEN WAVERLEY,1000000,u,22/07/2017,3,2,2,365,23,-37.88599,145.17031,19873,1023,42.14285714,-1,56,98,19
119,ID776088979,8 Agg St,NEWPORT,993000,h,22/05/2016,3,2,2,348,119,-37.8435,144.8788,19994,431,16.625,-1,71,261,20
120,ID640893424,56 Cecil St,KEW,2350000,h,17/09/2016,4,2,2,861,36,-37.8047,145.0534,19903,2079,19.66666667,-1,271,771,74
121,ID204423225,10 Yarrabin St,BRUNSWICK WEST,810000,h,7/11/2016,3,1,2,349,69,-37.7589,144.9368,20038,1727,12.07692308,-1,958,5673,628
122,ID977845072,394 Manningham Rd,DONCASTER,1202000,h,27/11/2016,3,2,2,649,54,-37.7794,145.1224,20042,4434,30.75,-1,3081,9924,906
123,ID986331180,4/1508 Malvern Rd,GLEN IRIS,955000,t,29/07/2017,2,1,1,197,49,-37.85448,145.0485,19912,308,22,-1,2047,9171,742
124,ID588283979,16 Milford St,NEWPORT,760000,h,28/08/2016,2,1,2,255,89,-37.8469,144.8766,19994,772,16.625,-1,71,261,20
125,ID297949095,29/100 Commercial Rd,SOUTH YARRA,750000,u,4/6/2016,3,2,2,0,15,-37.8453,144.9849,19958,641,20,-1,1100,3636,457
126,ID903569510,1/10 Scotia St,MOONEE PONDS,675000,u,8/10/2016,2,1,1,206,104,-37.7694,144.9059,20038,1237,12.07692308,-1,278,489,65
127,ID765549497,85 Waimarie Dr,MOUNT WAVERLEY,1728000,h,17/06/2017,4,3,2,720,59,-37.87833,145.13731,19875,882,36.14285714,-1,1471,7759,779
128,ID292617104,4/5 Gnarwyn Rd,CARNEGIE,330000,u,22/04/2017,1,1,1,0,59,-37.8944,145.0616,19919,690,23.90909091,-1,3767,18925,2042
129,ID259875284,37 Lewis St,ORMOND,1770000,h,10/9/2016,3,2,2,667,69,-37.9088,145.0471,19940,791,31.08333333,-1,268,736,128
130,ID651755858,139 Victoria St,FLEMINGTON,1340000,h,24/06/2017,4,2,1,302,91,-37.7845,144.93582,19971,509,8,-1,2047,9171,742
131,ID794186364,36 Westgate St,OAKLEIGH,1205000,h,13/05/2017,3,2,1,570,64,-37.9066,145.0869,19917,704,28,-1,938,6892,553
132,ID174057767,58 Waverley St,ABERFELDIE,840000,h,18/03/2017,2,1,1,373,49,-37.7604,144.9062,20037,1006,14.08333333,-1,817,1779,181
133,ID959126401,47 Cooper St,PRESTON,1350000,h,29/07/2017,7,3,4,530,99,-37.73526,144.99508,20012,612,29.42857143,-1,705,5479,335
134,ID558010850,4 Pershore Ct,WESTMEADOWS,635000,h,29/07/2017,3,2,1,691,44,-37.68026,144.88468,20030,3093,29.08333333,-1,98,190,19
135,ID707058048,16 Blenheim Rd,NEWPORT,1176000,h,18/06/2016,3,1,2,767,59,-37.8466,144.8636,19994,1810,16.625,-1,71,261,20
136,ID982554857,132 The Parade,ASCOT VALE,985000,h,3/9/2017,3,1,1,245,74,-37.77215,144.91144,20039,979,10.07692308,-1,2494,11307,1410
137,ID326541072,7 Danthonia St,COBURG NORTH,850000,h,3/6/2017,4,2,2,300,39,-37.7296,144.97988,19964,1562,21,-1,1097,5916,553
138,ID692823259,111 Derby St,PASCOE VALE,876000,h,27/05/2017,3,1,2,525,59,-37.72803,144.94624,19963,1544,23,-1,705,5479,335
139,ID589738327,127 Tucker Rd,BENTLEIGH,1260000,h,4/3/2017,4,2,2,793,19,-37.9232,145.0502,19938,1312,35.08333333,-1,959,4476,324
140,ID577819778,46 Osborne Rd,NORTH WARRANDYTE,1550000,h,24/06/2017,5,3,4,4221,39,-37.73371,145.24045,19878,7726,0,-1,251,768,83
141,ID844843794,19 Denver St,BENTLEIGH EAST,1275000,h,3/12/2016,5,2,2,683,59,-37.9333,145.0602,19937,2063,37.09090909,-1,925,4701,308
